title,studio,domestic_gross,foreign_gross,year,id,production_budget
Paradise: Love,Strand,24300.0,,2013.0,,
Our Children,Distrib.,23200.0,,2013.0,,
V/H/S/2,Magn.,21800.0,,2013.0,,
The Look of Love,IFC,21300.0,,2013.0,,
The Painting (2013),GK,21000.0,,2013.0,,
Terraferma,Cohen,20000.0,,2013.0,,
Love and Honor (2013),IFC,19700.0,,2013.0,,
Nostalghia,KL,18800.0,,2013.0,,
Casting By,SD,18200.0,,2013.0,,
Violet & Daisy,Cdgm.,17200.0,,2013.0,,
Jayne Mansfield's Car,Anch.,14800.0,,2013.0,,
A Wedding Invitation,CJ,14400.0,,2013.0,,
Red Obsession,A23,13200.0,,2013.0,,
The Selfish Giant,IFC,12200.0,,2013.0,,
Charlie Countryman,MNE,11700.0,,2013.0,,
Just Like a Woman,Cohen,11400.0,,2013.0,,
So Young,CL,11200.0,,2013.0,,
In the Name Of,FM,9900.0,,2013.0,,
InchAllah (U.S. only),EOne,9800.0,,2013.0,,
Welcome to the Punch,IFC,9700.0,,2013.0,,
Clandestine Childhood,IFC,9000.0,,2013.0,,
Argento's Dracula 3D,IFC,8100.0,,2013.0,,
Finding Mr. Right,CL,6900.0,,2013.0,,
Paradise: Hope,Strand,6700.0,,2013.0,,
Paradise: Faith,Strand,6500.0,,2013.0,,
The Guillotines,WGUSA,5300.0,,2013.0,,
The Stroller Strategy,Rialto,3500.0,,2013.0,,
What Richard Did,Trib.,2700.0,,2013.0,,
Caught in the Web,Vita.,1100.0,,2013.0,,
I Spit on Your Grave 2,Anch.,800.0,,2013.0,,
Into the White,Magn.,700.0,,2013.0,,
Storage 24,Magn.,100.0,,2013.0,,
Transformers: Age of Extinction,Par.,245400000.0,858600000,2014.0,37.0,"$210,000,000"
The Hobbit: The Battle of the Five Armies,WB (NL),255100000.0,700900000,2014.0,22.0,"$250,000,000"
Guardians of the Galaxy,BV,333200000.0,440200000,2014.0,14.0,"$170,000,000"
Maleficent,BV,241400000.0,517100000,2014.0,84.0,"$180,000,000"
The Hunger Games: Mockingjay - Part 1,LGF,337100000.0,418200000,2014.0,62.0,"$125,000,000"
X-Men: Days of Future Past,Fox,233900000.0,513900000,2014.0,55.0,"$200,000,000"
Captain America: The Winter Soldier,BV,259800000.0,454500000,2014.0,16.0,"$170,000,000"
Dawn of the Planet of the Apes,Fox,208500000.0,502100000,2014.0,17.0,"$170,000,000"
The Amazing Spider-Man 2,Sony,202900000.0,506100000,2014.0,56.0,"$200,000,000"
Interstellar,Par.,188000000.0,489400000,2014.0,32.0,"$165,000,000"
Big Hero 6,BV,222500000.0,435300000,2014.0,29.0,"$165,000,000"
How to Train Your Dragon 2,Fox,177000000.0,444500000,2014.0,99.0,"$145,000,000"
American Sniper,WB,350100000.0,197300000,2014.0,57.0,"$58,000,000"
Godzilla (2014),WB,200700000.0,328400000,2014.0,,
Rio 2,Fox,131500000.0,368600000,2014.0,49.0,"$130,000,000"
Teenage Mutant Ninja Turtles (2014),Par.,191200000.0,302100000,2014.0,,
The LEGO Movie,WB,257800000.0,211400000,2014.0,,
Lucy,Uni.,126700000.0,336700000,2014.0,83.0,"$40,000,000"
Penguins of Madagascar,Fox,83400000.0,289700000,2014.0,37.0,"$132,000,000"
Edge of Tomorrow,WB,100200000.0,270300000,2014.0,95.0,"$178,000,000"
Gone Girl,Fox,167800000.0,201600000,2014.0,36.0,"$61,000,000"
Night at the Museum: Secret of the Tomb,Fox,113700000.0,249500000,2014.0,60.0,"$127,000,000"
Noah,Par.,101200000.0,261399999,2014.0,51.0,"$130,000,000"
The Maze Runner,Fox,102400000.0,245900000,2014.0,60.0,"$34,000,000"
300: Rise of An Empire,WB,106600000.0,231000000,2014.0,,
22 Jump Street,Sony,191700000.0,139600000,2014.0,85.0,"$50,000,000"
The Fault in our Stars,Fox,124900000.0,182300000,2014.0,,
Divergent,LG/S,150900000.0,137900000,2014.0,95.0,"$85,000,000"
Mr. Peabody & Sherman,Fox,111500000.0,164200000,2014.0,1.0,"$145,000,000"
Neighbors,Uni.,150200000.0,120500000,2014.0,64.0,"$18,000,000"
Exodus: Gods and Kings,Fox,65000000.0,203200000,2014.0,16.0,"$140,000,000"
Annabelle,WB (NL),84300000.0,172800000,2014.0,84.0,"$6,500,000"
Hercules (2014),Par.,72700000.0,172100000,2014.0,,
RoboCop (2014),Sony,58600000.0,184100000,2014.0,,
The Imitation Game,Wein.,91100000.0,142400000,2014.0,6.0,"$15,000,000"
Non-Stop,Uni.,92200000.0,130600000,2014.0,2.0,"$50,000,000"
Dracula Untold,Uni.,56300000.0,160800000,2014.0,21.0,"$70,000,000"
The Expendables 3,LGF,39300000.0,175300000,2014.0,96.0,"$100,000,000"
Into the Woods,BV,128000000.0,85100000,2014.0,77.0,"$56,200,000"
Fury (2014),Sony,85800000.0,126000000,2014.0,,
Journey to the West,Magn.,18100.0,205600000,2014.0,,
Need for Speed,BV,43600000.0,159700000,2014.0,70.0,"$66,000,000"
The Other Woman (2014),Fox,83900000.0,112800000,2014.0,,
The Equalizer,Sony,101500000.0,90800000,2014.0,96.0,"$55,000,000"
Breakup Buddies,CL,778000.0,188200000,2014.0,,
The Grand Budapest Hotel,FoxS,59300000.0,115500000,2014.0,27.0,"$31,000,000"
Dumb and Dumber To,Uni.,86200000.0,83600000,2014.0,1.0,"$40,000,000"
Unbroken,Uni.,115600000.0,47800000,2014.0,82.0,"$65,000,000"
Into The Storm,WB (NL),47600000.0,114100000,2014.0,,
The Monuments Men,Sony,78000000.0,77000000,2014.0,14.0,"$70,000,000"
Ride Along,Uni.,134900000.0,19500000,2014.0,67.0,"$25,000,000"
Planes: Fire & Rescue,BV,59200000.0,92200000,2014.0,,
Let's Be Cops,Fox,82400000.0,55800000,2014.0,,
Jack Ryan: Shadow Recruit,Par.,50600000.0,84900000,2014.0,97.0,"$60,000,000"
Annie (2014),Sony,85900000.0,47900000,2014.0,,
Blended,WB,46300000.0,81700000,2014.0,90.0,"$45,000,000"
Sex Tape,Sony,38500000.0,87500000,2014.0,54.0,"$40,000,000"
The Theory of Everything,Focus,35900000.0,87800000,2014.0,35.0,"$15,000,000"
The Nut Job,ORF,64300000.0,56600000,2014.0,72.0,"$30,000,000"
The Wind Rises,BV,5200000.0,112700000,2014.0,,
Pompeii,TriS,23200000.0,94600000,2014.0,97.0,"$80,000,000"
The Admiral: Roaring Currents,CJ,2600000.0,109600000,2014.0,,
The Purge: Anarchy,Uni.,72000000.0,40000000,2014.0,71.0,"$9,000,000"
The Boxtrolls,Focus,50800000.0,58400000,2014.0,94.0,"$60,000,000"
Horrible Bosses 2,WB,54400000.0,53200000,2014.0,31.0,"$40,000,000"
Ouija,Uni.,50900000.0,52700000,2014.0,60.0,"$5,000,000"
Birdman,FoxS,42300000.0,60900000,2014.0,,
Transcendence,WB,23000000.0,80000000,2014.0,2.0,"$100,000,000"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",BV,67000000.0,34400000,2014.0,44.0,"$28,000,000"
Heaven is for Real,TriS,91400000.0,9900000,2014.0,46.0,"$12,000,000"
Tammy,WB (NL),84500000.0,16000000,2014.0,3.0,"$20,000,000"
P.K.,UTV,10600000.0,89800000,2014.0,,
The Book of Life (2014),Fox,50200000.0,49600000,2014.0,,
Paranormal Activity: The Marked Ones,Par.,32500000.0,58400000,2014.0,70.0,"$5,000,000"
The Hundred-Foot Journey,BV,54200000.0,34600000,2014.0,13.0,"$22,000,000"
John Wick,LG/S,43000000.0,45700000,2014.0,6.0,"$30,000,000"
Deliver Us From Evil,SGem,30600000.0,57400000,2014.0,,
A Million Ways to Die in the West,Uni.,43100000.0,44100000,2014.0,,
Snowpiercer,RTWC,4600000.0,82200000,2014.0,27.0,"$40,000,000"
Step Up All In,LG/S,14900000.0,71300000,2014.0,,
The Judge,WB,47100000.0,37300000,2014.0,41.0,"$50,000,000"
Muppets Most Wanted,BV,51200000.0,29200000,2014.0,20.0,"$55,000,000"
If I Stay,WB (NL),50500000.0,28400000,2014.0,73.0,"$11,000,000"
"I, Frankenstein",LGF,19100000.0,52100000,2014.0,14.0,"$65,000,000"
The Attorney,WGUSA,557000.0,70000000,2014.0,,
Think Like a Man Too,SGem,65200000.0,5000000,2014.0,36.0,"$24,000,000"
Brick Mansions,Rela.,20400000.0,48500000,2014.0,69.0,"$28,000,000"
Stalingrad (2014),Sony,1000000.0,67099999,2014.0,,
Son of God,Fox,59700000.0,8100000,2014.0,11.0,"$22,000,000"
Jersey Boys,WB,47000000.0,20600000,2014.0,43.0,"$40,000,000"
The Giver,Wein.,45100000.0,21900000,2014.0,2.0,"$25,000,000"
Selma,Par.,52100000.0,14700000,2014.0,25.0,"$20,000,000"
God's Not Dead,Free,60800000.0,3900000,2014.0,,
Thunder and the House of Magic!,Shout!,4100.0,64200000,2014.0,,
Begin Again,Wein.,16200000.0,47300000,2014.0,91.0,"$8,000,000"
The Legend of Hercules,LG/S,18800000.0,42400000,2014.0,42.0,"$70,000,000"
Evangelion: 3.0 You Can (Not) Redo,Elev.,175000.0,60300000,2014.0,,
Dolphin Tale 2,WB,42000000.0,15800000,2014.0,12.0,"$36,000,000"
St. Vincent,Wein.,44100000.0,10700000,2014.0,61.0,"$13,000,000"
No Good Deed (2014),SGem,52500000.0,1800000,2014.0,,
A Walk Among the Tombstones,Uni.,26300000.0,26900000,2014.0,67.0,"$28,000,000"
3 Days to Kill,Rela.,30700000.0,21900000,2014.0,64.0,"$28,000,000"
Wild (2014),FoxS,37900000.0,14600000,2014.0,,
Magic in the Moonlight,SPC,10500000.0,40500000,2014.0,,
Dragon Ball Z: Battle of Gods,SV,2600000.0,47800000,2014.0,,
About Last Night (2014),SGem,48600000.0,365000,2014.0,,
Whiplash,SPC,13100000.0,35900000,2014.0,43.0,"$3,300,000"
Chef,ORF,31400000.0,14500000,2014.0,,
Earth to Echo,Rela.,38900000.0,6400000,2014.0,62.0,"$13,000,000"
Boyhood,IFC,25400000.0,19100000,2014.0,85.0,"$4,000,000"
Oculus,Rela.,27700000.0,16300000,2014.0,72.0,"$5,000,000"
Bang Bang,FIP,2500000.0,39500000,2014.0,,
As Above/So Below,Uni.,21300000.0,20600000,2014.0,,
This is Where I Leave You,WB,34300000.0,7000000,2014.0,57.0,"$20,000,000"
That Awkward Moment,Focus,26100000.0,14400000,2014.0,78.0,"$8,000,000"
Frank Miller's Sin City: A Dame to Kill For,W/Dim.,13800000.0,25600000,2014.0,,
The Gambler,Par.,33700000.0,5600000,2014.0,25.0,"$25,000,000"
The Gambler,Par.,33700000.0,5600000,2014.0,50.0,"$3,000,000"
Million Dollar Arm,BV,36500000.0,2800000,2014.0,17.0,"$25,000,000"
Nightcrawler,ORF,32400000.0,6300000,2014.0,34.0,"$8,500,000"
Devil's Due,Fox,15800000.0,21100000,2014.0,14.0,"$7,000,000"
A Most Wanted Man,RAtt.,17200000.0,19000000,2014.0,76.0,"$15,000,000"
The Best of Me,Rela.,26800000.0,9200000,2014.0,42.0,"$26,000,000"
Endless Love (2014),Uni.,23400000.0,11300000,2014.0,,
Get On Up,Uni.,30700000.0,2700000,2014.0,,
The November Man,Rela.,25000000.0,7500000,2014.0,61.0,"$15,000,000"
The Pirates,WGUSA,416000.0,32100000,2014.0,,
Winter's Tale,WB,12600000.0,18500000,2014.0,,
When the Game Stands Tall,TriS,30100000.0,,2014.0,50.0,"$15,000,000"
Draft Day,LG/S,28800000.0,620000,2014.0,36.0,"$25,000,000"
Big Eyes,Wein.,14500000.0,14800000,2014.0,23.0,"$10,000,000"
The Divine Move,CJ,137000.0,27800000,2014.0,,
Top Five,Par.,25300000.0,800000,2014.0,80.0,"$12,000,000"
Iceman (2014),WGUSA,7700.0,26000000,2014.0,,
And So It Goes,CE,15200000.0,10200000,2014.0,14.0,"$18,000,000"
On the Other Side of the Tracks,Wein.,9600.0,25100000,2014.0,,
The Players,Wein.,10900.0,24600000,2014.0,,
The Tale of The Princess Kaguya,GK,703000.0,23500000,2014.0,,
A Haunted House 2,ORF,17300000.0,6600000,2014.0,89.0,"$4,000,000"
The Railway Man,Wein.,4400000.0,17900000,2014.0,33.0,"$18,000,000"
Mr. Turner,SPC,4000000.0,18200000,2014.0,18.0,"$14,000,000"
The Suspect (2014),WGUSA,219000.0,21400000,2014.0,,
Bears,BV,17800000.0,3500000,2014.0,,
Yves Saint Laurent,Wein.,724000.0,20300000,2014.0,,
Labor Day,Par.,13400000.0,6900000,2014.0,19.0,"$18,000,000"
"Like Father, Like Son (2014)",IFC,335000.0,19600000,2014.0,,
Left Behind (2014),Free,14000000.0,5700000,2014.0,,
Legends of Oz: Dorothy's Return,CE,8500000.0,10200000,2014.0,,
The Drop,FoxS,10700000.0,7900000,2014.0,16.0,"$12,600,000"
The Quiet Ones,LGF,8500000.0,9300000,2014.0,,
Sabotage (2014),ORF,10500000.0,7000000,2014.0,,
Addicted,LGF,17400000.0,,2014.0,96.0,"$5,000,000"
Road to Ninja - Naruto the Movie,Elev.,43200.0,17300000,2014.0,,
Calvary,FoxS,3600000.0,13300000,2014.0,,
The Pyramid,Fox,2800000.0,14100000,2014.0,,
Tyler Perry's The Single Moms Club,LGF,16000000.0,364000,2014.0,,
Beyond Outrage,Magn.,3900.0,16200000,2014.0,,
Before I Go To Sleep,CE,3200000.0,12200000,2014.0,,
Vampire Academy,Wein.,7800000.0,7600000,2014.0,,
Inherent Vice,WB,8100000.0,6600000,2014.0,56.0,"$20,000,000"
Island of Lemurs: Madagascar (IMAX),WB,11300000.0,2800000,2014.0,,
The Two Faces of January,Magn.,507000.0,13000000,2014.0,,
Fading Gigolo,MNE,3800000.0,9600000,2014.0,,
Foxcatcher,SPC,12100000.0,,2014.0,,
A Most Violent Year,A24,5700000.0,6300000,2014.0,68.0,"$20,000,000"
The Interview (2014),Sony,6100000.0,5200000,2014.0,,
One Chance,Wein.,101000.0,10800000,2014.0,,
Bicycling with Moliere,Strand,59900.0,10700000,2014.0,,
Belle,FoxS,10700000.0,,2014.0,,
Wetlands,Strand,59500.0,10500000,2014.0,,
Moms' Night Out,TriS,10400000.0,,2014.0,,
The Babadook,IFC,964000.0,9300000,2014.0,41.0,"$2,000,000"
Nymphomaniac: Volume I,Magn.,786000.0,9500000,2014.0,,
Gladiators of Rome,VPD,8200.0,10100000,2014.0,,
Mood Indigo,Drft.,303000.0,9500000,2014.0,,
Alan Partridge: The Movie,Magn.,153000.0,9600000,2014.0,,
Venus in Fur,IFC,374000.0,8000000,2014.0,,
Filth,Magn.,34400.0,8300000,2014.0,,
What If (2014),CBS,3500000.0,4400000,2014.0,,
Finding Fanny,FIP,616000.0,7100000,2014.0,,
Pride (2014),CBS,1400000.0,6100000,2014.0,,
Chinese Puzzle,Cohen,339000.0,7100000,2014.0,,
A Long Way Down,Magn.,13300.0,7200000,2014.0,,
Jessabelle,LGF,,7000000,2014.0,,
"Two Days, One Night",IFC,1400000.0,5400000,2014.0,,
A Letter to Momo,GK,71700.0,6700000,2014.0,,
Cantinflas,LGF,6400000.0,,2014.0,,
Le Chef,Cohen,343000.0,5900000,2014.0,,
Mas Negro Que La Noche,LGF,870000.0,5200000,2014.0,,
French Gigolo (Cliente),IFC,3000.0,6000000,2014.0,,
The Trip to Italy,IFC,2900000.0,3000000,2014.0,,
The Immigrant,Wein.,2000000.0,3800000,2014.0,72.0,"$16,000,000"
Wish I Was Here,Focus,3600000.0,1900000,2014.0,61.0,"$6,000,000"
Under the Skin (2014),A24,2600000.0,2800000,2014.0,,
The Skeleton Twins,RAtt.,5300000.0,,2014.0,36.0,"$1,000,000"
The French Minister,IFC,12000.0,5100000,2014.0,,
Ernest & Celestine,GK,262000.0,4800000,2014.0,,
Tracks (2014),Wein.,510000.0,4400000,2014.0,,
The Love Punch,KE,267000.0,4500000,2014.0,,
Dear White People,RAtt.,4400000.0,,2014.0,51.0,"$1,250,000"
The Lunchbox,SPC,4200000.0,,2014.0,42.0,"$1,700,000"
My Old Lady,Cohen,4000000.0,,2014.0,,
Diplomacy,Zeit.,231000.0,3700000,2014.0,,
Horns,RTWC,174000.0,3700000,2014.0,,
Ida,MBox,3800000.0,,2014.0,3.0,"$2,600,000"
14 Blades,RTWC,,3800000,2014.0,,
Ragnarok,Magn.,1400.0,3700000,2014.0,,
Veronica Mars,WB,3300000.0,195000,2014.0,63.0,"$6,000,000"
Mommy,RAtt.,3500000.0,,2014.0,1.0,"$4,900,000"
Jack and the Cuckoo-Clock Heart,Shout!,,3400000,2014.0,,
The Grand Seduction,EOne,3400000.0,,2014.0,,
Enemy,A24,1000000.0,2400000,2014.0,,
Words and Pictures,RAtt.,2200000.0,1200000,2014.0,,
The Protector 2,Magn.,2500.0,3300000,2014.0,,
The Rover,A24,1100000.0,2100000,2014.0,47.0,"$8,500,000"
The Mystery of Happiness,Strand,8500.0,3200000,2014.0,,
Rosewater,ORF,3100000.0,,2014.0,74.0,"$10,000,000"
Obvious Child,A24,3100000.0,,2014.0,41.0,"$1,000,000"
The German Doctor,Gold.,418000.0,2600000,2014.0,,
Citizenfour,RTWC,2800000.0,202000,2014.0,,
A Coffee in Berlin,MBox,150000.0,2600000,2014.0,,
The Good Lie,WB,2700000.0,,2014.0,,
The Raid 2,SPC,2600000.0,,2014.0,,
Living is Easy with Eyes Closed,Outs,11600.0,2600000,2014.0,,
A Five Star Life,MBox,307000.0,2200000,2014.0,,
Kick,UTV,2500000.0,,2014.0,,
Kill the Messenger,Focus,2500000.0,,2014.0,51.0,"$5,000,000"
The Homesman,Saban,2400000.0,,2014.0,70.0,"$16,000,000"
Blood Ties (2014),RAtt.,42500.0,2400000,2014.0,,
The Guest (2014),PH,333000.0,2000000,2014.0,,
Life of Riley,KL,11600.0,2300000,2014.0,,
Ode to My Father,CJ,2300000.0,,2014.0,,
Love is Strange,SPC,2300000.0,,2014.0,,
Marius,KL,9800.0,2200000,2014.0,,
"Men, Women & Children",Par.,706000.0,1500000,2014.0,,
2 States,UTV,2200000.0,,2014.0,,
Nymphomaniac: Volume II,Magn.,327000.0,1900000,2014.0,,
Le Week-End,MBox,2200000.0,,2014.0,,
Gloria (2014),RAtt.,2100000.0,,2014.0,,
"20,000 Days on Earth",Drft.,280000.0,1800000,2014.0,,
Only Lovers Left Alive,SPC,1900000.0,,2014.0,,
Tusk,A24,1800000.0,,2014.0,28.0,"$3,000,000"
Awake: The Life of Yogananda,CF&SR,1500000.0,,2014.0,,
Fed Up,RTWC,1500000.0,,2014.0,,
Finding Vivian Maier,IFC,1500000.0,,2014.0,,
Make Your Move,HTR,125000.0,1300000,2014.0,,
Bright Days Ahead,Trib.,21800.0,1400000,2014.0,,
Locke,A24,1400000.0,,2014.0,37.0,"$2,000,000"
Force Majeure,Magn.,1400000.0,,2014.0,,
Postman Pat: The Movie,Shout!,1500.0,1300000,2014.0,,
Just a Sigh,Distrib.,75500.0,1200000,2014.0,,
Jai Ho,Eros,1300000.0,,2014.0,,
For a Woman,FM,32299.0,1200000,2014.0,,
Singham Returns,Eros,1200000.0,,2014.0,,
Why Don't You Play in Hell,Drft.,28500.0,1200000,2014.0,,
The Remaining,Triu,1200000.0,,2014.0,,
The Way He Looks,Strand,101000.0,1100000,2014.0,,
Ilo Ilo,FM,56800.0,1100000,2014.0,,
Hector And The Search For Happiness,Rela.,1100000.0,,2014.0,,
Leviathan (2014),SPC,1100000.0,,2014.0,,
The Captive,A24,1100000.0,,2014.0,,
Laggies,A24,1100000.0,,2014.0,,
Jackpot,DR,800.0,1100000,2014.0,17.0,"$400,000"
Lila Lila,Crnth,,1100000,2014.0,,
Haider,UTV,1000000.0,,2014.0,,
Third Person,SPC,1000000.0,,2014.0,,
Borgman,Drft.,57500.0,952000,2014.0,,
The Disappearance of Eleanor Rigby,Wein.,588000.0,397000,2014.0,,
Shaadi Ke Side Effects,Eros,921000.0,,2014.0,,
Song of the Sea,GK,858000.0,,2014.0,,
Kochadaiiyaan,Eros,817000.0,,2014.0,,
Age of Uprising: The Legend of Michael Kohlhaas (U.S. only),MBox,3300.0,797000,2014.0,,
The Zero Theorem,Ampl.,258000.0,513000,2014.0,,
Palo Alto,Trib.,768000.0,,2014.0,58.0,"$1,000,000"
Ek Villain,Eros,731000.0,,2014.0,,
Khoobsurat,UTV,711000.0,,2014.0,,
Holiday (2014),Relbig.,707000.0,,2014.0,,
Hasee Toh Phasee,Relbig.,646000.0,,2014.0,,
Frank,Magn.,645000.0,,2014.0,,
Mary Kom,Eros,621000.0,,2014.0,,
The Signal (2014),Focus,601000.0,,2014.0,,
Back in Time (Congcong Nanian),CL,569000.0,,2014.0,,
Highway (2014),UTV,529000.0,,2014.0,,
Dom Hemingway,FoxS,524000.0,,2014.0,52.0,"$7,000,000"
The One I Love,RTWC,513000.0,,2014.0,,
Archipelago,KL,7800.0,492000,2014.0,,
A Girl Walks Home Alone at Night,KL,492000.0,,2014.0,,
The Congress,Drft.,138000.0,318000,2014.0,,
In Secret,RAtt.,444000.0,,2014.0,,
Bjork - Biophilia Live,CP,128000.0,306000,2014.0,,
But Always (Yi Sheng Yi Shi),CL,431000.0,,2014.0,,
Beijing Love Story,CL,428000.0,,2014.0,,
Goodbye to Language,KL,390000.0,,2014.0,,
Humpty Sharma Ki Dulhania,Relbig.,380000.0,,2014.0,,
Women Who Flirt (Sajiao Nvren),CL,375000.0,,2014.0,,
Joe (2014),RAtt.,373000.0,,2014.0,,
Omar,AF,356000.0,,2014.0,,
The Face of Love,IFC,350000.0,,2014.0,29.0,"$4,000,000"
Jimi: All Is By My Side,XL,341000.0,,2014.0,,
I Origins,FoxS,336000.0,,2014.0,70.0,"$1,000,000"
The Last Sentence,MBox,62500.0,265000,2014.0,,
On My Way,Cohen,317000.0,,2014.0,,
Happy Ending,Eros,314000.0,,2014.0,,
I Am Eleven,Proud,310000.0,,2014.0,,
7 Boxes,BGP,38100.0,267000,2014.0,,
The Dance of Reality,Abk.,294000.0,,2014.0,,
Elsa & Fred (2014),MNE,286000.0,,2014.0,,
Main Tera Hero,Eros,275000.0,,2014.0,,
Night Moves,Cdgm.,272000.0,,2014.0,,
Love on the Cloud (Wei Ai),CL,272000.0,,2014.0,,
Life of Crime,RAtt.,265000.0,,2014.0,,
The Green Prince,MBox,258000.0,,2014.0,,
Action Jackson (2014),Eros,257000.0,,2014.0,,
The Blue Room,IFC,255000.0,,2014.0,,
Tazza: The Hidden Card,CJ,252000.0,,2014.0,,
James Cameron's Deepsea Challenge 3D,DLA,236000.0,,2014.0,,
Gabrielle (2014),EOne,5500.0,222000,2014.0,,
The Breakup Guru,CL,209000.0,,2014.0,,
Bethlehem,AF,202000.0,,2014.0,,
The Double (2014),Magn.,200000.0,,2014.0,,
Listen Up Philip,Trib.,200000.0,,2014.0,,
We Are The Best!,Magn.,181000.0,,2014.0,,
That Demon Within,CL,172000.0,,2014.0,,
God's Pocket,IFC,170000.0,,2014.0,,
Unrelated,KL,4500.0,154000,2014.0,,
The Polar Express (2014 re-issue),WB,139000.0,,2014.0,,
May in the Summer,Cohen,22000.0,112000,2014.0,,
The Jewish Cardinal,FM,134000.0,,2014.0,,
Zero Motivation,Zeit.,116000.0,,2014.0,,
Life's a Breeze,Magn.,3500.0,99700,2014.0,,
The Golden Era,CL,103000.0,,2014.0,,
God Help the Girl,Ampl.,103000.0,,2014.0,,
The Best Offer,IFC,100000.0,,2014.0,,
Child's Pose,Zeit.,97200.0,,2014.0,,
Cuban Fury,EOne,92400.0,,2014.0,,
Girl on a Bicycle,Mont.,91400.0,,2014.0,,
Breathe In,Cohen,89700.0,,2014.0,,
Life After Beth,A24,88300.0,,2014.0,,
Advanced Style,B360,87900.0,,2014.0,,
Better Living Through Chemistry,Gold.,75100.0,,2014.0,,
For No Good Reason,SPC,67400.0,,2014.0,,
The Notebook (2014),SPC,66600.0,,2014.0,,
Heropanti,UTV,63600.0,,2014.0,,
No Tears for the Dead,CJ,63100.0,,2014.0,,
Young and Beautiful,IFC,61100.0,,2014.0,,
Siddharth,Zeit.,60500.0,,2014.0,,
Walk of Shame,FCW,59200.0,,2014.0,,
The Conformist (2014 re-release),KL,58700.0,,2014.0,,
Rudderless,Gold.,58300.0,,2014.0,78.0,"$5,000,000"
The Rocket (2014),KL,56800.0,,2014.0,,
In Bloom,BWP,56100.0,,2014.0,,
Starred Up,Trib.,54900.0,,2014.0,,
Half of a Yellow Sun,Mont.,54500.0,,2014.0,,
Hateship Loveship,IFC,54000.0,,2014.0,,
"1,000 Times Good Night",FM,53900.0,,2014.0,,
The Missing Picture,Strand,52200.0,,2014.0,,
Decoding Annie Parker,EOne,48400.0,,2014.0,,
Alphaville (2013 re-release),Rialto,47700.0,,2014.0,,
Return to The Hiding Place,SEA,45400.0,,2014.0,,
Policeman,Crnth,11300.0,27000,2014.0,,
White Bird in a Blizzard,Magn.,33800.0,,2014.0,,
The Hero of Color City,Magn.,32200.0,,2014.0,,
Bird People,IFC,32100.0,,2014.0,,
Closed Curtain,Vari.,28100.0,,2014.0,,
Lilting,Strand,27100.0,,2014.0,,
Adult World,IFC,25400.0,,2014.0,,
A Tale of Winter (Conte d'hiver),BWP,23300.0,,2014.0,,
The Decent One,KL,21300.0,,2014.0,,
Guardian Angel,RME,19500.0,,2014.0,,
Tasting Menu,Magn.,18700.0,,2014.0,,
Two Night Stand,EOne,18600.0,,2014.0,60.0,"$1,600,000"
Burning Bush,KL,16700.0,,2014.0,,
Horses of God,KL,14800.0,,2014.0,,
13 Sins,RTWC,13800.0,,2014.0,51.0,"$4,000,000"
Camp X-Ray,IFC,13300.0,,2014.0,92.0,"$1,000,000"
Special ID,WGUSA,12700.0,,2014.0,,
Wolves,KE,12100.0,,2014.0,51.0,"$18,000,000"
Falcon Rising,Free,11800.0,,2014.0,54.0,"$4,500,000"
You're Not You,EOne,11500.0,,2014.0,,
The Amazing Catfish,Strand,11300.0,,2014.0,,
Stray Dogs,CGld,10400.0,,2014.0,,
Canopy,Mont.,8500.0,,2014.0,,
Love is in the Air,FCW,8400.0,,2014.0,,
Empty Hours,Strand,8200.0,,2014.0,,
Rigor Mortis,WGUSA,7900.0,,2014.0,,
The Little Bedroom,CLS,7400.0,,2014.0,,
Plot for Peace,,7100.0,,2014.0,,
Very Good Girls,WGUSA,6900.0,,2014.0,,
Pioneer,Magn.,6900.0,,2014.0,,
Life of a King,MNE,6500.0,,2014.0,,
The Strange Little Cat,KS,5900.0,,2014.0,,
"2 Autumns, 3 Winters",FM,5800.0,,2014.0,,
The Devil's Hand,RAtt.,5700.0,,2014.0,,
Anna,VE,4300.0,,2014.0,64.0,"$4,357,373"
Open Windows,Cdgm.,1800.0,,2014.0,,
Mr. Pip,Free,1700.0,,2014.0,,
Star Wars: The Force Awakens,BV,936700000.0,"1,131.6",2015.0,,
Jurassic World,Uni.,652300000.0,"1,019.4",2015.0,34.0,"$215,000,000"
Furious 7,Uni.,353000000.0,"1,163.0",2015.0,67.0,"$190,000,000"
Avengers: Age of Ultron,BV,459000000.0,946400000,2015.0,4.0,"$330,600,000"
Minions,Uni.,336000000.0,823400000,2015.0,73.0,"$74,000,000"
Spectre,Sony,200100000.0,680600000,2015.0,10.0,"$300,000,000"
Inside Out,BV,356500000.0,501100000,2015.0,98.0,"$175,000,000"
Mission: Impossible - Rogue Nation,Par.,195000000.0,487700000,2015.0,,
The Hunger Games: Mockingjay - Part 2,LGF,281700000.0,371700000,2015.0,39.0,"$160,000,000"
The Martian,Fox,228400000.0,401700000,2015.0,46.0,"$108,000,000"
Fifty Shades of Grey,Uni.,166200000.0,404800000,2015.0,78.0,"$40,000,000"
Cinderella (2015),BV,201200000.0,342400000,2015.0,,
The Revenant,Fox,183600000.0,349300000,2015.0,27.0,"$135,000,000"
